sample	mach	seq_date	initial	passed_filter_reads	low_quality_reads	too_many_n_reads	too_short_reads	too_long_reads	raw_total_reads	raw_total_bases	raw_q20_bases	raw_q30_bases	raw_q20_rate	raw_q30_rate	raw_read1_mean_length	raw_read2_mean_length	raw_gc_content	total_reads	total_bases	q20_bases	q30_bases	q20_rate	q30_rate	read1_mean_length	read2_mean_length	gc_content	homozygosity	heterozygosity	genomesize	repeatsize	uniquesize	modelfit	errorrate	num_contigs	num_contigs_mitochondrion	num_contigs_plastid	num_contigs_prokarya	bp_mitochondrion	bp_plastid	bp_prokarya	complete	single_copy	multi_copy	fragmented	missing	n_markers	domain	number_of_scaffolds	number_of_contigs	total_length	percent_gaps	scaffold_n50	contigs_n50	unique_k_mers_assembly	k_mers_total	qv	error	k_mer_set	solid_k_mers	total_k_mers	completeness	depmethod	adjust	readbp	mapadjust	scdepth	estgenomesize
OG63	NOVA	240716	AMD	368840710	10633868	117616	9349940	0	388942134	57798151977	55093544313	51758079877	0.953206	0.895497	148	148	0.458899	368840710	55019175741	52938019780	49886401629	0.962174	0.906709	149	149	0.455322	99.6362%	0.37949%	478,732,496	49,437,205	429,295,291	97.8825%	0.63559%	13930842	1038	1103	145	1682742	1737399	226415	82.8	81.6	1.2	6.4	10.8	3640	eukaryota	250267	250267	806172612	0.000%	11629	11629	98167	801167272	52.3395	5.8351e-06	all	452827501	473363228	95.6617	mpileup	IndelRatio	55019175741	0.999701582273107	90.82	605993599
OG667	NOVA	240716	AMD	316889620	3922948	75040	6184406	0	327072014	48697306465	46903538592	44214002328	0.963165	0.907935	148	148	0.403497	316889620	47312262495	45774220927	43215509118	0.967492	0.91341	149	149	0.40251	99.6672%	0.383895%	1,022,444,684	162,103,315	860,341,369	99.2737%	0.255601%	16998027	11	6	5	18552	10374	7401	71.5	70.6	0.9	13.3	15.2	3640	eukaryota	105654	105654	1104349731	0.000%	27149	27149	42200	1102236651	57.3917	1.82317e-06	all	911828799	966050318	94.3873	mpileup	IndelRatio	47312262495	0.99944419696576	39.98	1184107898
OG66	NOVA	240716	AMD	609213704	8575538	147920	14713932	0	632651094	94202642112	90261267834	84604312731	0.958161	0.89811	148	148	0.404339	609213704	90905984736	87629450428	82304561723	0.963957	0.905381	149	149	0.402579	100%	0.169342%	1,947,361,772	857,300,898	1,090,060,874	91.3301%	0.318635%	27525364	103	68	44	219752	104678	74229	86.7	45.3	41.4	7.4	5.9	3640	eukaryota	249741	249741	1663857446	0.000%	21112	21112	71243	1658862626	56.8928	2.04513e-06	all	1358200488	1464308668	92.7537	mpileup	IndelRatio	90905984736	0.9993471813221	40.77	2231344284
OG674	NOVA	240716	AMD	369391384	5422868	163512	14384708	0	389362472	57425526172	55293879719	52372967355	0.96288	0.912015	147	147	0.457675	369391384	54869182662	53221285063	50518710213	0.969967	0.920712	148	148	0.455507	99.2991%	0.728068%	580,054,413	67,751,923	512,302,490	98.4872%	0.206057%	9436021	10	2	12	12309	3591	16271	80.6	79.6	1	8.4	11	3640	eukaryota	81263	81263	602506257	0.000%	27839	27839	12059	600880997	60.1969	9.55669e-07	all	547128687	604688802	90.481	mpileup	IndelRatio	54869182662	0.999168897513289	78.91	695900397
OG682	NOVA	240716	AMD	369595134	4711524	158004	14732250	0	389196912	57346068403	55194350689	52126060274	0.962478	0.908974	147	147	0.432838	369595134	55004491612	53255840150	50391287856	0.968209	0.91613	148	148	0.430777	98.8404%	1.18164%	766,101,800	97,689,901	668,411,900	97.3811%	0.261553%	17454512	79	57	72	151795	83978	134506	61.2	60.5	0.7	14.4	24.4	3640	eukaryota	342968	342968	962871000	0.000%	7345	7345	35810	956011640	57.4867	1.78373e-06	all	766056507	866082992	88.4507	mpileup	IndelRatio	55004491612	0.999337474650396	58.86	935125722
OG690	NOVA	240716	AMD	363763176	4389326	61816	6023466	0	374237784	55809024778	53842796634	50893791747	0.964769	0.911928	149	149	0.411137	363763176	54320795686	52638201461	49830760468	0.969025	0.917342	149	149	0.410249	99.3516%	0.665465%	980,568,389	105,151,275	875,417,115	99.1549%	0.241609%	18594084	18	14	21	24006	25254	31126	63.7	62.8	0.9	13.8	22.5	3640	eukaryota	258633	258633	1104354531	0.000%	14306	14306	37196	1099181871	57.9279	1.61144e-06	all	938030893	1019550440	92.0044	mpileup	IndelRatio	54320795686	0.99927303248709	50.42	1078231296
OG691	NOVA	240716	AMD	367387622	3523578	123398	9802506	0	380837104	56427743535	54387627072	51178816669	0.963846	0.90698	148	148	0.411761	367387622	54750149839	52985592545	49920300171	0.967771	0.911784	149	149	0.410761	99.5557%	0.462481%	982,817,259	108,106,826	874,710,434	99.1187%	0.223386%	17384839	20	7	20	62691	9504	37191	68.9	68	0.9	12.6	18.5	3640	eukaryota	203783	203784	1075310365	0.000%	19210	19210	30850	1071233908	58.6284	1.37138e-06	all	928554065	988050412	93.9784	mpileup	IndelRatio	54750149839	0.999444066470911	48.29	1134315614
OG692	NOVA	240716	AMD	444450066	3817670	89258	8636822	0	456993816	68124641024	65215203419	60662273643	0.957292	0.89046	149	149	0.420943	444450066	66384688249	63784379708	59403151156	0.96083	0.894832	149	149	0.420553	99.5879%	0.429289%	875,146,028	117,381,815	757,764,213	98.7663%	0.299651%	16053954	26	11	11	58205	19290	16224	73.9	73	0.9	11.3	14.8	3640	eukaryota	155950	155950	945208933	0.000%	18505	18505	32421	942089933	57.8548	1.63878e-06	all	801655023	858067794	93.4256	mpileup	IndelRatio	66384688249	0.99952231343617	66.81	994101295
OG693	NOVA	240716	AMD	342215618	3140306	84806	10441314	0	355882044	52961281203	50675763093	47273466915	0.956845	0.892604	148	148	0.406087	342215618	51034709028	49147942064	45943765865	0.96303	0.900245	149	149	0.404233	99.5293%	0.509708%	1,056,232,852	163,203,221	893,029,631	99.2996%	0.254947%	18715849	41	11	20	83816	16697	45517	72.1	71.2	0.9	12.8	15.1	3640	eukaryota	167979	167979	1130946444	0.000%	22298	22298	42475	1127586864	57.4623	1.79379e-06	all	948599374	1024761957	92.5678	mpileup	IndelRatio	51034709028	0.99954517797618	42.64	1197555146
OG694	NOVA	240716	AMD	369763816	4400916	58214	7183316	0	381406262	56958355650	54873797019	51779549383	0.963402	0.909077	149	149	0.409629	369763816	55204592969	53447415815	50522205454	0.96817	0.915181	149	149	0.408944	99.8262%	0.187828%	779,204,958	67,927,088	711,277,870	98.9101%	0.230941%	12535474	2	6	7	3012	7227	10312	88.6	87.7	0.9	6.2	5.2	3640	eukaryota	39258	39258	804542172	0.000%	72472	72472	14737	803757012	60.5893	8.7311e-07	all	739348460	755130319	97.91	mpileup	IndelRatio	55204592969	0.99972621392395	63.62	867931089
OG697	NOVA	240716	AMD	381636014	4613548	93860	8736688	0	395080110	58809278070	56529228166	53207590053	0.96123	0.904748	148	148	0.410778	381636014	56924451177	55004347745	51861325436	0.966269	0.911055	149	149	0.40953	99.5738%	0.445833%	999,732,061	113,771,477	885,960,585	99.2948%	0.276017%	17935172	19	6	10	41247	7716	13445	65.5	64.7	0.8	14.2	20.3	3640	eukaryota	198348	198348	1097599455	0.000%	18329	18329	39973	1093632495	57.5932	1.74054e-06	all	941942002	996401975	94.5343	mpileup	IndelRatio	56924451177	0.999655696111732	48.68	1169659326
OG698	NOVA	240716	AMD	420898494	4607326	90400	7694200	0	433290420	64598586380	62363133004	58960249787	0.965395	0.912717	149	149	0.423311	420898494	62832897739	60928686352	57691760003	0.969694	0.918178	149	149	0.422642	99.7727%	0.254066%	931,484,453	142,576,274	788,908,179	98.6891%	0.245134%	16584752	19	10	7	46914	13840	10378	70.6	69.8	0.8	12.1	17.3	3640	eukaryota	160879	160879	1014261808	0.000%	15638	15638	31459	1011044228	58.2924	1.48171e-06	all	833639610	870053844	95.8147	mpileup	IndelRatio	62832897739	0.999666081393344	57.82	1087040269
OG700	NOVA	240716	AMD	339282794	3729498	145934	12363852	0	355522078	52670476734	50531432296	47423211007	0.959388	0.900376	148	148	0.41113	339282794	50548959016	48815174419	45907763754	0.965701	0.908184	149	148	0.409272	100%	0.0619419%	1,109,357,258	191,840,306	917,516,952	98.91%	0.271134%	17638967	21	10	8	60401	27101	20067	80.9	80	0.9	8.4	10.7	3640	eukaryota	85162	85162	1165897739	0.000%	45254	45254	37607	1164194499	58.1297	1.53826e-06	all	969735908	987775013	98.1738	mpileup	IndelRatio	50548959016	0.999915580668785	37.75	1339048007
OG754	NOVA	240716	AMD	314747112	3112420	46144	6194804	0	324100480	48361321366	46769081515	44292401971	0.967076	0.915864	149	149	0.414015	314747112	46993727925	45657952579	43311810895	0.971575	0.921651	149	149	0.413003	99.2865%	0.724978%	581,173,943	58,686,470	522,487,473	98.9288%	0.237946%	11191593	75	31	22	162766	42234	35049	78	77.3	0.7	7.8	14.2	3640	eukaryota	174375	174375	668670688	0.000%	15604	15604	19108	665183188	58.6394	1.36792e-06	all	561467731	619353675	90.6538	mpileup	IndelRatio	46993727925	0.998942507661663	72.23	651323790
OG761	NOVA	240716	AMD	426093372	7979632	113108	11599312	0	445785424	66348542750	63698167094	60201015841	0.960054	0.907345	148	148	0.44109	426093372	63526540075	61502588908	58280580892	0.96814	0.917421	149	149	0.437725	99.5093%	0.497473%	549,934,519	30,658,981	519,275,538	98.8164%	0.238218%	9196989	11	12	5	31739	22488	6430	88.6	87.8	0.8	5.6	5.8	3640	eukaryota	55043	55043	579092203	0.000%	43339	43339	14812	577991343	59.1352	1.22033e-06	all	539607864	583045927	92.5498	mpileup	IndelRatio	63526540075	0.999297709732544	104.91	605964454
OG764	NOVA	240716	AMD	294405204	2368576	69912	7631164	0	304474856	44990797326	43507210326	41067074391	0.967025	0.912788	147	147	0.410963	294405204	43755238114	42441322553	40098657996	0.969971	0.916431	148	148	0.41016	98.492%	1.53356%	694,101,807	89,722,708	604,379,098	97.1513%	0.330446%	17098206	76	77	72	146269	125710	111300	62.1	60.3	1.8	13	24.9	3640	eukaryota	429565	429565	1053733917	0.000%	3769	3769	51896	1045142617	56.2625	2.36455e-06	all	787085103	864921757	91.0007	mpileup	IndelRatio	43755238114	0.99971065421801	53.82	813274309
OG768	NOVA	240716	AMD	314583726	8979794	64628	7317544	0	330945692	49315776817	47052297134	44242932609	0.954102	0.897135	149	148	0.459641	314583726	46925972663	45214444175	42653355511	0.963527	0.90895	149	149	0.456117	99.4468%	0.563446%	561,939,397	47,643,035	514,296,363	98.8144%	0.285467%	10258493	62	17	34	126656	21683	55772	74.6	73.8	0.8	10.1	15.3	3640	eukaryota	116830	116830	643972403	0.000%	17728	17728	29490	641635803	56.5982	2.18865e-06	all	552062519	591616282	93.3143	mpileup	IndelRatio	46925972663	0.999573689209958	76.82	611079012
OG780	NOVA	240716	AMD	392463010	4394650	77886	7005280	0	403940826	60252543764	58081646720	54775404671	0.96397	0.909097	149	149	0.434996	392463010	58609710465	56766890201	53621755725	0.968558	0.914895	149	149	0.434088	98.7071%	1.30471%	638,163,879	57,672,693	580,491,187	97.9504%	0.234852%	15146217	60	25	44	100041	33582	59464	55.6	54.9	0.7	15.3	29.1	3640	eukaryota	367610	367610	836408106	0.000%	4697	4697	29580	829055906	57.698	1.69904e-06	all	653163568	744135006	87.7749	mpileup	IndelRatio	58609710465	0.998515825417418	82.89	708101149
OG782	NOVA	240716	AMD	355514068	4849264	123824	14719018	0	375206174	55617376827	53401022607	50436339144	0.96015	0.906845	148	148	0.426526	355514068	52893349028	51248788722	48549188591	0.968908	0.917869	148	148	0.423989	99.1676%	0.869899%	909,528,358	135,478,942	774,049,416	99.3606%	0.214704%	16103862	47	20	39	96841	33867	99685	79.3	78.1	1.2	9.9	10.8	3640	eukaryota	143815	143815	957639740	0.000%	29743	29743	24544	954763440	59.1216	1.22415e-06	all	845429118	944188854	89.5403	mpileup	IndelRatio	52893349028	0.999500013863365	45.44	1164673302
OG783	NOVA	240716	AMD	344358142	4009454	67588	7624540	0	356059724	53080486856	51017263197	47948004207	0.96113	0.903308	149	149	0.402047	344358142	51401198884	49629604120	46719179185	0.965534	0.908912	149	149	0.401408	98.6612%	1.35753%	728,003,109	95,349,852	632,653,257	97.7397%	0.324789%	19579990	108	96	66	176001	178224	95586	61.8	59.8	2	12.9	25.3	3640	eukaryota	451194	451195	1047168633	0.000%	3563	3563	53837	1038144196	56.0739	2.46953e-06	all	777309789	856186131	90.7875	mpileup	IndelRatio	51401198884	0.999484786810792	58.25	882914354
OG792	NOVA	240716	AMD	387960560	4692002	72636	6467484	0	399192682	59551989124	57370878700	54104291023	0.963375	0.908522	149	149	0.407491	387960560	57952639300	56069451910	52956934511	0.967505	0.913797	149	149	0.40679	98.7403%	1.27909%	705,238,179	80,804,917	624,433,263	97.4844%	0.309488%	17590392	44	51	52	87335	87773	86832	53.8	52.6	1.2	15.4	30.8	3640	eukaryota	403508	403508	966029242	0.000%	4307	4307	43973	957959082	56.6037	2.1859e-06	all	747232998	830169544	90.0097	mpileup	IndelRatio	57952639300	0.999693076771184	72.28	802047534
OG795	NOVA	240716	AMD	405001860	4009464	65972	8114532	0	417191828	62184655506	59714781546	55946541083	0.960282	0.899684	149	149	0.419982	405001860	60454950624	58308306076	54704988705	0.964492	0.904888	149	149	0.418868	99.539%	0.472391%	678,121,574	62,437,384	615,684,191	98.4471%	0.280563%	12695208	19	31	8	43908	77945	15341	81.3	80.3	1	7.4	11.3	3640	eukaryota	140808	140808	761033640	0.000%	18986	18986	26490	758217480	57.7892	1.6637e-06	all	650654318	693430340	93.8312	mpileup	IndelRatio	60454950624	0.999568214335814	74.36	813405590
OG796	NOVA	240716	AMD	309432432	5091960	62744	5521968	0	320109104	47728932572	45874145678	43282428098	0.961139	0.906838	149	149	0.414503	309432432	46198214632	44674624081	42238216410	0.967021	0.914282	149	149	0.412793	99.7149%	0.300161%	680,156,271	73,042,388	607,113,884	98.8774%	0.251627%	11468407	13	3	11	40514	3949	29959	76	75.4	0.6	10.2	13.8	3640	eukaryota	99365	99365	728844656	0.000%	16981	16981	27191	726857356	57.4924	1.78141e-06	all	633713385	664084796	95.4266	mpileup	IndelRatio	46198214632	0.999656933903507	58.34	792154048
OG797	NOVA	240716	AMD	372938874	4836406	99736	7359536	0	385234552	57384261805	55253018127	52150443749	0.96286	0.908793	148	148	0.415028	372938874	55673845701	53885069949	50945003481	0.96787	0.915062	149	149	0.413801	98.6458%	1.36757%	656,547,016	71,344,728	585,202,289	98.5401%	0.438094%	18468237	35	18	56	81375	23925	77858	56.1	54.7	1.4	14.2	29.7	3640	eukaryota	520720	520720	994900342	0.000%	3494	3494	176686	984485942	50.6819	8.54694e-06	all	685374545	768912408	89.1356	mpileup	IndelRatio	55673845701	0.999462578720189	69.11	806007956
OG798	NOVA	240716	AMD	352556212	4099220	50198	6019144	0	362724774	54213885184	52254829442	49322655121	0.963864	0.909779	149	149	0.400107	352556212	52672040751	51010308473	48229783266	0.968451	0.915662	149	149	0.399346	98.8121%	1.20592%	718,746,584	88,133,811	630,612,773	98.0123%	0.324119%	19340795	76	94	83	132979	161175	121311	57.1	55.7	1.4	13.5	29.4	3640	eukaryota	465096	465096	1044315335	0.000%	3467	3467	50351	1035013415	56.3515	2.31661e-06	all	770347731	839869220	91.7223	mpileup	IndelRatio	52672040751	0.999610099016805	64.42	817939735
OG809	NOVA	240716	AMD	378617526	3753140	76890	7317212	0	389764768	58192731921	56232228934	53199194652	0.96631	0.91419	149	149	0.418363	378617526	56549574527	54907910936	52034090415	0.970969	0.92015	149	149	0.417188	99.2943%	0.71823%	576,341,376	55,388,968	520,952,409	98.2779%	0.225555%	11276331	79	27	19	165070	34455	24672	76.9	76.2	0.7	8	15.1	3640	eukaryota	170563	170563	665633164	0.000%	15591	15591	16406	662221904	59.2822	1.17974e-06	all	560686987	617473061	90.8035	mpileup	IndelRatio	56549574527	0.999008923253819	87.38	647837414
OG80	NOVA	240716	AMD	726215454	31193514	186534	22970042	0	780565544	116302216430	109997788221	102976996425	0.945793	0.885426	149	148	0.45901	726215454	108329681360	104063517003	97944889705	0.960619	0.904137	149	149	0.450289	99.0043%	1.01049%	995,213,650	107,272,301	887,941,349	97.8623%	0.322826%	23310567	122	32	30	240446	42289	40679	83.8	52.9	30.9	6.6	9.6	3640	eukaryota	500951	500951	1293863619	0.000%	6448	6448	140342	1283844599	52.8352	5.20569e-06	all	997178288	1109882877	89.8454	mpileup	IndelRatio	108329681360	0.998980269966155	87.88	1233931406
OG812	NOVA	240716	AMD	351667858	4962950	112636	13965122	0	370708566	55064510021	52489467751	49083085675	0.953236	0.891374	148	148	0.442674	351667858	52365025415	50395542999	47253811154	0.962389	0.902393	148	148	0.438168	99.3445%	0.682965%	777,762,698	111,584,864	666,177,834	98.5512%	0.297206%	15910086	93	33	55	164886	49571	83308	55.3	54.5	0.8	15.6	29.1	3640	eukaryota	270218	270218	905962680	0.000%	8648	8648	37706	900558320	57.0031	1.99383e-06	all	724972365	798374250	90.8061	mpileup	IndelRatio	52365025415	0.998987201021613	50.78	1032247054
OG814	NOVA	240716	AMD	353232086	5479388	88478	10689330	0	369489282	55029369805	52704205411	49622954090	0.957747	0.901754	149	148	0.431861	353232086	52664348246	50865203988	48019923327	0.965838	0.911811	149	149	0.428494	99.3654%	0.655832%	780,843,895	107,468,556	673,375,338	98.7183%	0.32525%	16494583	125	40	55	229830	61353	88722	56.2	55.6	0.6	15.4	28.4	3640	eukaryota	297198	297198	925498800	0.000%	8237	8237	63973	919554840	54.7979	3.31294e-06	all	729893820	803600324	90.828	mpileup	IndelRatio	52664348246	0.998969770200208	52.79	998685887
OG816	NOVA	240716	AMD	361215616	5215934	212650	15046040	0	381690240	56118798580	54001994770	50923374185	0.96228	0.907421	147	146	0.448505	361215616	53687088728	52003847356	49129906043	0.968647	0.915116	148	148	0.446079	96.0566%	17.5279%	412,076,257	93,616,310	318,459,947	97.5813%	0.278454%	13484476	62	23	33	124621	34340	55547	63.3	62.6	0.7	14.5	22.2	3640	eukaryota	190355	190355	824999806	0.000%	12466	12466	31547	821192706	57.377	1.82937e-06	all	680485302	733204409	92.8098	mpileup	IndelRatio	53687088728	0.999240894567504	52.8	1017564889
OG817	NOVA	240716	AMD	299009138	7767776	270418	21893680	0	328941012	47649643994	45562410833	43137263497	0.956196	0.905301	144	144	0.497506	299009138	44178946943	42799513627	40676952364	0.968776	0.920732	147	147	0.492562	100%	100%	Inf	Inf	Inf	0.901589%	0.131448%	12301015	66	13	46	143042	22470	85253	49.5	49	0.5	17.6	32.9	3640	eukaryota	216844	216844	786987370	0.000%	7016	7016	40208	782650490	56.1146	2.44645e-06	all	7766068	8160262	95.1693	mpileup	IndelRatio	44178946943	0.999314462459936	25.68	1721715125
OG823	NOVA	240716	AMD	311788906	3726316	221180	14435762	0	330172164	48312379546	46587304704	43992200069	0.964293	0.910578	146	146	0.447788	311788906	46248957893	44834874406	42400516339	0.969425	0.916789	148	148	0.445937	97.211%	17.1939%	505,536,701	138,574,134	366,962,567	97.0278%	0.293182%	15109819	20	6	15	57575	7237	26028	69.8	68.9	0.9	12.3	17.9	3640	eukaryota	192613	192613	955931889	0.000%	13815	13815	34455	952079629	57.6363	1.72332e-06	all	802139788	876009880	91.5674	mpileup	IndelRatio	46248957893	0.999247735650543	38.82	1192402315
OG825	NOVA	240716	AMD	331684836	4390310	242882	14545856	0	350863884	51455190653	49600989932	46906465916	0.963965	0.911598	146	146	0.450173	331684836	49312224322	47802516284	45282520898	0.969385	0.918282	148	148	0.448482	96.9001%	10.4991%	678,099,736	304,576,916	373,522,820	97.5139%	0.291564%	18739343	34	14	18	80364	20161	25833	50.9	49.9	1	17.4	31.7	3640	eukaryota	335682	335682	1113234010	0.000%	8339	8339	57534	1106520370	56.0624	2.47603e-06	all	874370944	964639118	90.6423	mpileup	IndelRatio	49312224322	0.999401913502441	33.02	1494485378
OG827	NOVA	240716	AMD	310951522	4513810	449088	24153460	0	340067880	48707046662	47052767283	44672663273	0.966036	0.91717	143	143	0.451062	310951522	45885331452	44577836738	42384147459	0.971505	0.923697	147	147	0.449513	100%	27.102%	696,463,117	226,546,488	469,916,629	97.9592%	0.19698%	18525289	49	13	50	85918	17925	71635	44	42.2	1.8	18.4	37.6	3640	eukaryota	504598	504598	1085406807	0.000%	3562	3562	66549	1075314847	55.306	2.94713e-06	all	821974626	928546211	88.5227	mpileup	IndelRatio	45885331452	0.999452028308784	41.75	1099673505
OG831	NOVA	240716	AMD	278798926	8124840	510688	35797338	0	323231792	45772548292	43255227353	40642724116	0.945004	0.887928	141	141	0.477258	278798926	40858980399	39318666115	37122911613	0.962302	0.908562	146	146	0.468515	100%	100%	Inf	Inf	Inf	14.3902%	0.207911%	11174743	806	3248	173	1801339	8303241	369109	83.4	82.7	0.7	7.9	8.7	3640	eukaryota	110130	110130	713798789	0.000%	24054	24054	68587	711596189	53.3819	4.58996e-06	all	574128623	599637818	95.7459	mpileup	IndelRatio	40858980399	0.99948441598655	28.77	1420899903
