og_id	tech	seq_date	code	annotation	taxonomy	lca	percent_match	length	lca_run_date	region
OG103	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Balistoidea;Monacanthidae;Tetraodontiformes;Monacanthidae;;	Monacanthidae	98.80	1258	241115	16s	
OG103	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Balistoidea;Monacanthidae;Meuschenia;Tetraodontiformes;Monacanthidae;Meuschenia;	Meuschenia	99.87	1548	241115	CO1	
OG107	hic	240501	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	100.00	948	241115	12s	
OG107	hic	240501	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	99.85	1134	241115	16s	
OG107	hic	240501	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	99.73	766	241115	CO1	
OG107	hifi	240125	v3mitohifi	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	100.00	948	241115	12s	
OG107	hifi	240125	v3mitohifi	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	99.85	1134	241115	16s	
OG107	hifi	240125	v3mitohifi	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Cirrhitioidei;Chironemidae;Chironemus;Chironemus maculosus;Centrarchiformes;Chironemidae;Chironemus;Chironemus maculosus	Chironemus maculosus	99.72	786	241115	CO1	
OG108	hic	240522	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Terapontoidei;Girellidae;Girella;Girella zebra;Centrarchiformes;Girellidae;Girella;Girella zebra	Girella zebra	98.10	949	241115	12s	
OG108	hifi	231027	v3mitohifi	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Terapontoidei;Girellidae;Girella;Girella zebra;Centrarchiformes;Girellidae;Girella;Girella zebra	Girella zebra	98.10	949	241115	12s	
OG11	hic	240207	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.95	966	241115	12s	
OG11	hic	240207	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.97	1477	241115	16s	
OG11	hic	240207	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.79	785	241115	CO1	
OG11	ilmn	230814	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.95	966	241115	12s	
OG11	ilmn	230814	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.97	1477	241115	16s	
OG11	ilmn	230814	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lutjaniformes;Lutjanidae;Paradicichthyinae;Symphorus;Symphorus nematophorus;Lutjaniformes;Lutjanidae;Symphorus;Symphorus nematophorus	Symphorus nematophorus	99.79	785	241115	CO1	
OG110	ilmn	240716	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Terapontoidei;Girellidae;Girella;Centrarchiformes;Girellidae;Girella;	Girella	98.32	890	241113	12s	
OG110	ilmn	240716	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Terapontoidei;Girellidae;Girella;Centrarchiformes;Girellidae;Girella;	Girella	99.25	1037	241113	16s	
OG110	ilmn	240716	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Terapontoidei;Girellidae;Girella;Girella zebra;Centrarchiformes;Girellidae;Girella;Girella zebra	Girella zebra	100.00	652	241113	CO1	
OG113	hic	240522	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Tetraodontoidei;Diodontidae;Tetraodontiformes;Diodontidae;;	Diodontidae	99.37	908	241115	12s	
OG113	hic	240522	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Tetraodontoidei;Diodontidae;Tetraodontiformes;Diodontidae;;	Diodontidae	99.36	1109	241115	16s	
OG113	hic	240522	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Tetraodontoidei;Diodontidae;Diodon;Diodon nicthemerus;Tetraodontiformes;Diodontidae;Diodon;Diodon nicthemerus	Diodon nicthemerus	99.24	933	241115	CO1	
OG115	hic	240613	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.81	933	241211	12s	
OG115	hic	240613	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.65	1237	241211	16s	
OG115	hic	240613	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;;;;	Ctenosquamata	99.83	682	241211	CO1	
OG115	ilmn	231024	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.81	933	241211	12s	
OG115	ilmn	231024	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.63	1239	241211	16s	
OG115	ilmn	231024	getorg1770	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;;;;	Ctenosquamata	99.83	682	241211	CO1	
OG116	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.92	933	241115	12s	
OG116	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.72	1237	241115	16s	
OG116	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;;;;	Ctenosquamata	99.83	682	241115	CO1	
OG117	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Labriformes;Labridae;;	Labridae	99.18	694	241115	12s	
OG117	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Notolabrus;Labriformes;Labridae;Notolabrus;	Notolabrus	99.62	1170	241115	16s	
OG117	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Notolabrus;Notolabrus parilus;Labriformes;Labridae;Notolabrus;Notolabrus parilus	Notolabrus parilus	99.75	838	241115	CO1	
OG118	ilmn	240313	v177getorg	emma102	cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Tetraodontiformes;Moloidei;Molidae;Ranzania;Ranzania laevis;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis	Ranzania laevis	99.92	933	241115	12s	
